artist,song,popularity
Rome Fortune,Ice Cream Man,0
Sly & The Family Stone,If You Want Me to Stay,68
Black Truth Rhythm Band,Ifetayo,0
Henri Roger,Images,1
50 Cent,In Da Club,85
John Coltrane,India,0
Group Home,Inna City Life,0
Marvin Gaye,Inner City Blues (Make Me Wanna Holler),0
Shuggie Otis,Inspiration Information,51
MJ Cole,Introduction,0
Caetano Veloso,Irene,0
Trevor Dandy,Is There Any Love?,0
Head High,It’s a Love Thing (Piano Invasion),0
Bob Chance,It’s Broken!,0
Ice Cube,It Was A Good Day - Remix;Edited,0
The Jimmy Castor Bunch,It's Just Begun,40
EPMD,It's My Thang,0
Ofege,It's Not Easy,43
E.S.P.,It's You,0
Ms. Jade,Jade's A Champ,0
Newcleus,Jam On Revenge (The Wikki Wikki Song),39
Jai Paul,jasmine - Demo,0
Theo Parrish,JB's Edit,13
Faust,Jennifer - 2006 Digital Remaster,35
Stereolab,Jenny Ondioline,0
The Jellies,Jive Baby On A Saturday Night,35
Alice Coltrane,Journey In Satchidananda,0
The Notorious B.I.G.,Juicy - 2005 Remaster,77
Crash Course In Science,Jump Over Barrels,19
Memphis Bleek,"Just Blaze, Bleek & Free",25
Erkin Koray,Karlı Dağlar,27
Moussa Doumbia,Keleya - Alternate LP Version,0
Kasso,Key West,0
The Notorious B.I.G.,Kick In The Door,0
MC5,Kick Out The Jams (Original Uncensored Version),44
Rhythm & Sound,King in My Empire (with Cornel Campbell),0
Augustus Pablo,King Tubby Meets The Rockers Uptown,0
King Tubby,King Tubby's Badness - Dub,0
The Free Design,Kites Are Fun,10
Kerri Chandler,Kong,6
Yamasuki Singers,Kono Samourai,0
Nahawa Doumbia,Korô Dia (à Mamaye Dramé L'inoubliable),0
Faust,Krautrock,24
John Coltrane,Kulu Sé Mama (Juno Sé Mama),0
Emmanuel Brun,La voix psychédélique,21
Steve Davis,Lalune Blanche,18
Donald Byrd,Lansana's Priestess,36
