danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.805,0.619,1,-11.776,0.078,0.024,0.864,0.113,0.197,119.883,1747244,4
0.399,0.182,8,-13.955,0.0482,0.909,0.0,0.0977,0.147,161.82,160194,4
0.626,0.495,7,-12.422,0.0324,0.265,0.707,0.31,0.772,111.496,167867,4
0.63,0.194,6,-20.514,0.0777,0.867,0.959,0.126,0.824,173.989,129944,4
0.609,0.647,8,-8.198,0.0314,0.65,0.0042,0.136,0.78,145.021,240039,4
0.388,0.291,10,-11.187,0.0361,0.515,0.775,0.0803,0.119,125.415,545372,4
0.31,0.399,7,-10.001,0.0308,0.931,0.0527,0.0951,0.0606,113.003,294524,5
0.557,0.558,2,-11.398,0.0407,0.00507,0.876,0.0875,0.201,110.219,136360,4
0.422,0.376,10,-11.348,0.0335,0.725,0.0,0.578,0.564,145.959,389773,4
0.721,0.51,1,-9.871,0.0475,0.375,0.0801,0.0934,0.652,119.991,238747,4
0.738,0.328,9,-21.048,0.0572,0.481,0.0131,0.209,0.312,94.911,185560,4
0.664,0.235,11,-14.714,0.033,0.844,0.0102,0.102,0.351,81.942,183933,4
0.597,0.244,1,-14.787,0.188,0.218,0.793,0.184,0.153,118.435,145853,4
0.555,0.853,0,-6.213,0.0502,0.346,0.711,0.0775,0.761,125.171,257933,4
0.615,0.849,5,-5.434,0.0957,0.511,0.344,0.491,0.732,105.053,173573,4
0.243,0.317,2,-15.826,0.0395,0.0151,0.964,0.106,0.0681,130.446,452600,4
0.117,0.0291,4,-23.05,0.0323,0.924,0.944,0.112,0.0395,73.448,261960,3
0.216,0.067,0,-25.949,0.0499,0.796,0.905,0.107,0.114,155.6,75387,3
0.82,0.686,6,-11.745,0.0859,0.103,0.83,0.105,0.676,123.024,433000,4
0.752,0.68,6,-8.483,0.0494,0.0012,0.949,0.335,0.529,120.041,346547,4
0.69,0.823,1,-7.371,0.0383,0.0401,0.779,0.172,0.443,127.982,344920,4
0.282,0.604,10,-12.648,0.0579,0.873,0.936,0.107,0.562,90.648,227740,4
0.711,0.702,8,-9.538,0.0903,0.354,0.00108,0.108,0.881,133.464,207960,4
0.712,0.594,5,-8.241,0.174,0.681,0.166,0.0402,0.966,118.756,224000,4
0.716,0.732,9,-7.405,0.0291,0.535,0.0149,0.147,0.73,122.924,221500,4
0.51,0.677,10,-10.884,0.0507,0.481,0.00343,0.114,0.512,88.208,266381,3
0.447,0.0809,0,-21.552,0.0565,0.508,2.21e-05,0.12,0.221,80.608,71320,4
0.486,0.32,0,-13.713,0.0425,0.874,0.855,0.107,0.0739,167.546,251453,4
0.55,0.452,0,-12.666,0.0738,0.317,5.98e-06,0.726,0.25,78.143,166449,4
0.537,0.571,7,-16.386,0.0817,0.517,0.0,0.262,0.975,193.862,216360,4
0.347,0.497,2,-10.429,0.0289,0.422,0.508,0.717,0.71,90.322,362933,3
0.601,0.358,1,-15.473,0.0534,0.259,0.0735,0.105,0.479,73.344,191347,4
0.768,0.392,9,-10.179,0.1,0.647,0.923,0.101,0.257,120.01,264120,4
0.901,0.725,7,-10.18,0.0419,0.0183,0.91,0.0851,0.846,127.993,375447,4
0.481,0.354,1,-12.392,0.0256,0.594,0.0,0.405,0.346,81.003,173040,3
0.33,0.805,6,-7.667,0.035,0.044,0.8,0.124,0.489,143.325,160347,1
0.612,0.428,4,-13.134,0.0369,0.471,0.125,0.395,0.67,108.622,122327,4
0.69,0.502,1,-9.425,0.082,0.772,0.000518,0.169,0.409,113.307,183653,4
0.821,0.3,5,-20.316,0.219,0.848,0.00965,0.282,0.176,123.016,179387,4
0.801,0.642,7,-8.347,0.0933,0.0447,0.124,0.154,0.78,137.604,312360,4
0.86,0.966,7,-8.69,0.0358,0.166,0.00383,0.101,0.951,123.076,149693,4
0.494,0.414,7,-12.401,0.035,0.389,0.0,0.186,0.419,74.636,169052,4
0.529,0.452,7,-12.33,0.0672,0.438,0.00024,0.0901,0.391,146.332,279453,4
0.337,0.734,1,-5.961,0.0451,0.443,2.95e-05,0.598,0.768,169.259,208120,4
0.522,0.743,4,-8.656,0.0682,0.423,0.0,0.1,0.941,104.313,158482,4
0.342,0.462,2,-16.952,0.0354,0.056,0.325,0.0842,0.0716,102.314,93600,4
0.75,0.334,1,-9.76,0.128,0.636,0.0,0.169,0.763,142.055,194333,4
0.627,0.979,8,-6.318,0.0356,0.000264,0.95,0.154,0.616,128.05,287195,4
0.574,0.642,11,-9.966,0.0449,0.341,8.06e-05,0.477,0.944,94.575,144600,4
0.405,0.34,7,-15.868,0.0338,0.615,0.599,0.0981,0.337,106.806,180293,4
0.663,0.826,6,-7.79,0.0501,6.28e-05,0.034,0.0953,0.69,144.99,361696,4
0.535,0.364,11,-16.788,0.112,0.058,0.936,0.251,0.461,185.162,741111,3
0.552,0.539,8,-11.079,0.0561,0.743,0.616,0.109,0.352,160.018,213187,4
0.679,0.856,5,-7.822,0.134,0.518,0.0,0.57,0.555,104.335,175253,4
0.409,0.635,9,-11.949,0.0339,0.695,0.869,0.0911,0.633,164.245,331703,4
0.539,0.423,7,-12.025,0.0347,0.559,0.294,0.292,0.408,104.25,299067,4
0.805,0.65,5,-16.846,0.128,0.454,0.000622,0.235,0.855,101.841,260553,4
0.666,0.738,1,-14.392,0.029,0.474,0.592,0.0388,0.921,129.737,129307,4
0.105,0.157,8,-20.098,0.0369,0.981,0.905,0.107,0.0873,88.594,849239,4
0.68,0.718,4,-8.746,0.0535,0.00811,0.867,0.112,0.761,120.003,381307,4
0.745,0.659,6,-8.882,0.0355,0.373,0.0,0.0891,0.962,108.322,183054,4
0.279,0.794,7,-10.353,0.113,0.00835,0.137,0.166,0.327,81.646,1252440,4
0.813,0.789,11,-10.525,0.0685,0.0389,0.139,0.324,0.815,122.95,352213,4
0.434,0.835,11,-7.723,0.0483,0.0744,0.000247,0.54,0.716,106.628,387427,4
0.414,0.805,8,-7.424,0.0762,0.356,0.000665,0.209,0.821,133.291,397201,4
0.479,0.549,11,-10.551,0.373,0.57,0.0235,0.127,0.576,180.985,252187,4
0.619,0.403,10,-11.212,0.133,0.31,0.0655,0.302,0.594,83.68,49427,4
0.851,0.608,3,-10.488,0.0538,0.00303,0.862,0.132,0.667,125.187,496083,4
0.801,0.99,10,-6.234,0.0604,0.00583,0.901,0.0846,0.64,123.983,381000,4
